"journal","url","year","address","issn","author","number","volume","numpages","issue_date","series","ENTRYTYPE","doi","abstract","publisher","pages","booktitle","location","keywords","month","articleno","isbn","note","title","ID"
"J. Supercomput.","https://doi.org/10.1007/s11227-022-04877-7","2022","USA","0920-8542","Ali, Zainab H.; Zaki, John F.; El-Rashidy, Nora","6","79","23","Apr 2023","","article","10.1007/s11227-022-04877-7","Recently, a crucial need has grown for improving data communication for the application of roads and ad hoc networks. That is, to provide reliable and operational efficiency in data delivery and throughput. Due to the fast fragmentation and dynamic network behavior, there is an increasing demand to reach reliability in data transmission. Furthermore, the various features and the manifold of dynamic topologies in the vehicular ad hoc network raise the need to redesign the routing strategy. Thus, ensuring efficient and reliable data delivery. This paper aims to introduce a Software architecture for Road Network. The architecture is based on fog computing and aims to improve the overall performance in vehicular networks. The proposed architecture is a new routing design for the urban system to accomplish low energy consumption and operational efficiency in data delivery. The integration between the software-defined networks and fog computing platform in the proposed architecture aids to address the high rate of data transmission. Historically, this high rate negatively affected network capacity and power consumption. To prove the effectiveness of the proposed architecture, it is compared with five state-of-art algorithms published in high impact journals. The proposed architecture performance is tested based on four metrics namely packet delivery ratio, network throughput, power consumption, and routing overhead. The experimental results indicate that a 50–60% improvement in both power consumption and packet delivery ratio, while a 60–65% enhancement in network throughput and routing overhead, respectively.","Kluwer Academic Publishers","6017–6039","","","Fog computing platform, Intelligent transportation systems, Geographic routing protocol, Software-defined-network, Vehicular ad hoc network, Internet of things","October","","","","Dynamic urban evaluation routing protocol for enhanced vehicle ad hoc networks","10.1007/s11227-022-04877-7"
"Trans. Comp.-Aided Des. Integ. Cir. Sys.","https://doi.org/10.1109/TCAD.2003.816207","2006","","0278-0070","Tan, T. K.; Raghunathan, A.; Jha, N. K.","9","22","11","November 2006","","article","10.1109/TCAD.2003.816207","Energy consumption has become a major focus in the design of embedded systems (e.g., mobile computing and wireless communication devices). In particular, a shift of emphasis from hardware-oriented low-energy design techniques to energy-efficient embedded software design has occurred progressively in the past few years. To that end, various techniques have been developed for the design of energy-efficient embedded software. In operating system (OS)-driven embedded systems, the OS has a significant impact on the system's energy consumption directly (energy consumption associated with the execution of the OS functions and services), as well as indirectly (interaction of the OS with the application software). As a first step toward designing energy-efficient OS-based embedded systems, it is important to analyze the energy consumption of embedded software by taking the OS energy characteristics into account. To facilitate such studies, we present, in this work, an energy simulation framework that can be used to analyze the energy consumption characteristics of an embedded system featuring the embedded Linux OS running on the StrongARM processor. The framework allows software designers to study the energy consumption of the system software in relation to the application software, identify the energy hot spots, and perform design changes based on the knowledge of the OS energy consumption characteristics as well as application-OS interactions.","IEEE Press","1284–1294","","","","November","","","","A simulation framework for energy-consumption analysis of OS-driven embedded applications","10.1109/TCAD.2003.816207"
"","","2011","","","Sabharwal, Manuj R.","","","2","","ISLPED '11","inproceedings","","Software is increasingly becoming a central issue in low power consumer based system. The amount of energy consumed by software has severe battery impact on the system. Minimizing power consumption is one of the primary challenges that today's developers faces due to lack of instrumentation functionality in the system. This tutorial will cover different prospect of energy usage and energy aware software design in system ranging from notebooks to smartphones/tablets. This tutorial will give special importance on the role of idle software in attain overall system energy efficiency. In Summary, this tutorial will give overview of software impact on hardware, quantify the impact and fix the issues in applications to extend the battery life.","IEEE Press","63–64","Proceedings of the 17th IEEE/ACM International Symposium on Low-Power Electronics and Design","Fukuoka, Japan","energy-aware computing, power optimization, software optimization","","","9781612846606","","Software power optimization: analysis and optimization for energy-efficient software","10.5555/2016802.2016821"
"","","2008","USA","","Cao, Qing","","","","","","phdthesis","","Wireless sensor networks promise an unprecedented potential for observing the physical world. Their battery life, however, is usually the bottleneck that limits application lifetime, a problem that is exacerbated by the disparity between the rapidly growing processing speed and the slowly improving battery capacity. We observed the importance of this problem in our first-hand experiences: during our involvement in two large-scale sensor network deployments, VigilNet, and EnviroMic, energy is the primary concern in the development and deployment of applications. Our experiences with these projects motivate us to consider the central role that energy plays in the design and implementation of software stacks for wireless sensor networks, including not only the design choices of protocols but also the overall system architecture. In this dissertation, we present an energy-centric software architecture, LiteArch, that addresses the following three problems. First, we address the problem of energy conservation, where we consider a stack of protocols that extends the lifetime of sensor networks through duty scheduling, and provide an analysis on the quantitative relationship between energy consumption and surveillance performance. Second, we address energy awareness, where we design energy-efficient communication protocols, whose performance usually dominates the overall energy efficiency of applications. Finally, we address energy isolation, where we implement an energy reserve abstraction that virtualizes energy sources, giving each application sharing the same platform an illusion of having its own guaranteed energy source. Because these three problems are closely related to the role played by energy, we call the overall LiteArch architecture  energy-centric.  The immediate implications of LiteArch is that it can improve the performance of the motivating projects, VigilNet and EnviroMic. In the long term, the impact of LiteArch will be manifested through our continuing development of LiteOS, an operating system on which we have implemented several representative protocols in LiteArch. Our solutions reflect the profound impact of energy on the design and implementation of the sensor network software stack, and shed light on the general principles that help design and implementation of future sensor network platforms.","University of Illinois at Urbana-Champaign","","","","","","","9780549909408","AAI3337714","Litearch: an energy-centric software architecture for wireless sensor networks","10.5555/1571034"
"","https://doi.org/10.1109/ICSE.2019.00114","2019","","","Chowdhury, Shaiful Alam; Hindle, Abram; Kazman, Rick; Shuto, Takumi; Matsui, Ken; Kamei, Yasutaka","","","12","","ICSE '19","inproceedings","10.1109/ICSE.2019.00114","Energy consumption is a concern in the data-center and at the edge, on mobile devices such as smartphones. Software that consumes too much energy threatens the utility of the end-user's mobile device. Energy consumption is fundamentally a systemic kind of performance and hence it should be addressed at design time via a software architecture that supports it, rather than after release, via some form of refactoring. Unfortunately developers often lack knowledge of what kinds of designs and architectures can help address software energy consumption. In this paper we show that some simple design choices can have significant effects on energy consumption. In particular we examine the Model-View-Controller architectural pattern and demonstrate how converting to Model-View-Presenter with bundling can improve the energy performance of both benchmark systems and real world applications. We show the relationship between energy consumption and bundled and delayed view updates: bundling events in the presenter can often reduce energy consumption by 30%.","IEEE Press","1107–1118","Proceedings of the 41st International Conference on Software Engineering","Montreal, Quebec, Canada","MVC, MVP, architecture, energy consumption","","","","","GreenBundle: an empirical study on the energy impact of bundled processing","10.1109/ICSE.2019.00114"
"J. Softw. Evol. Process","https://doi.org/10.1002/smr.1939","2018","USA","2047-7473","Salam, Muhammad; Khan, Siffat Ullah","8","30","21","August 2018","","article","10.1002/smr.1939","Green and sustainable software development has emerged in recent years, and vendors are constantly striving to develop software that has a less hazardous impact on the environment, economy, and human beings. However, developing green software in the context of software multisourcing is not a risk‐free activity, and vendors are exposed to several challenges. The authors have conducted both a systematic literature review and an industrial survey to identify the challenges faced by multisourcing vendors in the development of green and sustainable software. The final publication sample for the systematic literature review is composed of 54 research papers. Similarly, the final sample of the industrial survey is composed of 108 relevant experts. The authors have identified a list of 14 challenges. Of these challenges/risk factors, 8 have been tagged as critical risk factors. These critical risk factors are “lack of green RE practices,” “high power consumption,” “high carbon emission throughout the software development,” “poor software design (architectural, logical, physical, and user interface),” “lack of ICTs for coordination and communication,” “high resource requirements,” “lack of coding standards,” and “lack of green software development knowledge.”","John Wiley &amp; Sons, Inc.","","","","challenges/risk factors, green and sustainable software, green software development, industrial survey, software multisourcing, systematic literature review, vendors","August","","","","Challenges in the development of green and sustainable software for software multisourcing vendors: Findings from a systematic literature review and industrial survey","10.1002/smr.1939"
"","","2021","","","du Plessis, Shani","","","","","","mastersthesis","","Since its inception in 2009, the Internet of Things (IoT) has grown dramatically in both size and complexity. One of the areas that has seen significant developments is that of resource-constrained devices. Such devices clearly require careful engineering in order to manage resources such as energy and memory, whilst still ensuring acceptable performance. A number of aspects play a critical role in the engineering of such systems. One such aspect is the choice of software architecture. The microservices architecture appears to be a promising approach for IoT, as suggested by a number of researchers. However, limited research has been done on the implementation of microservices in IoT and resource-constrained devices, and even less research has been done to compare the microservices architecture to the monolithic architecture in such deployments.The aim of this research thesis was to compare these two architectures in the context of IoT and constrained devices. The two architectures were compared by: energy consumption, runtime performance and memory consumption. To ensure that the results are not specific to a single programming language, each architecture was developed in three different languages: Go, Python and C++. Following a review of different asynchronous messaging protocols, Message Queuing Telemetry Transport was selected. The experiments were conducted on a Raspberry Pi 4, and a number of other hardware devices were used, including sensors, an actuator and a type C USB Tester. Two metrics were used to measure power consumption: maximum instantaneous power consumption and total power consumption. Whilst three metrics were used to measure memory consumption: maximum Resident Set Size (RSS), total RSS and central processing unit (CPU) resource usage. Each experiment was carried out 10 times in order to ensure data validity.The power consumption results showed that the microservices architecture had, on average, 14,9% higher maximum instantaneous power consumption, whilst the total power consumption of the microservices architecture was only 3,0% greater than that of the monolithic architecture. The runtime results indicated that the microservices architecture had a longer runtime than the monolithic architecture for Go and C++, whilst the inverse was true for Python. When considering memory consumption, it was found that the maximum RSS was 37,1% greater for the microservices architecture. The total RSS results for both architectures were very similar for Go and C++, whilst microservices performed much better for Python. Lastly, the results for CPU usage showed that the monolithic architecture had, on average, 14,9% greater CPU usage than the microservices architecture. It was concluded that, for small-scale applications, the monolithic architecture had better performance across most metrics and languages. It was, however,recommended that additional research be conducted on larger scale applications to determine the applicability of these results beyond the scope of small-scale applications. In general, there is still much room for research in this area.","Universidade do Algarve (Portugal)","","","","","","","9798819341537","AAI29096435","A Comparative Study of Software Architectures in Constrained-Device IoT Deployments","10.5555/AAI29096435"
"IEEE Trans. Comput.","https://doi.org/10.1109/TC.2006.29","2006","USA","0018-9340","Phatrapornnant, Teera; Pont, Michael J.","2","55","12","February 2006","","article","10.1109/TC.2006.29","We have previously demonstrated that use of an appropriate Dynamic Voltage Scaling (DVS) algorithm can lead to a substantial reduction in CPU power consumption in systems employing a time-triggered cooperative (TTC) scheduler. In this paper, we consider the impact that the use of DVS has on the levels of both clock and task jitter in TTC applications. We go on to describe a modified DVS algorithm (TTC-jDVS) which can be used where low jitter is an important design consideration. We then demonstrate the effectiveness of the modified algorithm on a data set made up of artificial tasks and in a realistic case study.","IEEE Computer Society","113–124","","","Index Terms- Low power design, real-time systems and embedded systems., scheduling","February","","","","Reducing Jitter in Embedded Systems Employing a Time-Triggered Software Architecture and Dynamic Voltage Scaling","10.1109/TC.2006.29"
"","https://doi.org/10.1007/978-3-642-10265-3_4","2009","Berlin, Heidelberg","","Thompson, Chris; White, Jules; Dougherty, Brian; Schmidt, Douglas C.","","","11","","SEUS '09","inproceedings","10.1007/978-3-642-10265-3_4","Future embedded and ubiquitous computing systems will operate continuously on mobile devices, such as smartphones, with limited processing capabilities, memory, and power. A critical aspect of developing future applications for mobile devices will be ensuring that the application provides sufficient performance while maximizing battery life. Determining how a software architecture will affect power consumption is hard because the impact of software design on power consumption is not well understood. Typically, the power consumption of a mobile software architecture can only be determined after the architecture is implemented, which is late in the development cycle when design changes are costly.Model-driven Engineering (MDE) is a promising solution to this problem. In an MDE process, a model of the software architecture can be built and analyzed early in the design cycle to identify key characteristics, such as power consumption. This paper describes current research in developing an MDE tool for modeling mobile software architectures and using them to generate synthetic emulation code to estimate power consumption properties. The paper provides the following contributions to the study of mobile software development: (1) it shows how models of a mobile software architecture can be built, (2) it describes how instrumented emulation code can be generated to run on the target mobile device, and (3) it discusses how this emulation code can be used to glean important estimates of software power consumption and performance.","Springer-Verlag","36–46","Proceedings of the 7th IFIP WG 10.2 International Workshop on Software Technologies for Embedded and Ubiquitous Systems","Newport Beach, CA","","","","9783642102646","","Optimizing Mobile Application Performance with Model---Driven Engineering","10.1007/978-3-642-10265-3_4"
"Int. J. Embed. Real-Time Commun. Syst.","https://doi.org/10.4018/IJERTCS.2019040102","2019","USA","1947-3176","Samir, El Adib; Naoufal, Raissouni","2","10","18","Apr 2019","","article","10.4018/IJERTCS.2019040102","For real-time embedded applications, several factors (time, cost, power) that are moving security considerations from a function-centric perspective into a system architecture (hardware/software) design issue. The National Institute of Standards and Technology (NIST) adopts Advanced Encryption Standard (AES) as the most widely used encryption algorithm in many security applications. The AES algorithm specifies 10, 12 and 14 rounds offering different levels of security. Although the number of rounds determines the strength of security, the power consumption issue has risen recently, especially in real-time embedded systems. In this article, the authors present real time implementation of the AES encryption on the compactRIO platform for a different number of AES rounds. The target hardware is NI cRIO-9022 embedded real-time controller from National Instruments (NI). The real time encryption processing has been verified successfully. The power consumption and encryption time experimental results are presented graphically for 10, 12 and 14 rounds of processing.","IGI Global","19–36","","","AES, CompactRIO, Cryptography, Embedded Systems, Encryption, LabVIEW Real-Time, PAC, Real Time, Security","April","","","","CompactRIO Based Real Time Implementation of AES Algorithm for Embedded Applications","10.4018/IJERTCS.2019040102"
"","https://doi.org/10.1109/INFOCOM41043.2020.9155421","2020","","","Banou, Stella; Li, Kai; Chowdhury, Kaushik","","","10","","","inproceedings","10.1109/INFOCOM41043.2020.9155421","This paper proposes MAGIC: magnetic resonant (MR) coupling for intra-body communication between implants and wearables. MAGIC includes not only the hardware-software design of the coupled coils and methods of manipulating the magnetic field for relaying information, but also the ability to raise immediate emergency-related alerts with guaranteed delivery time. MR coupling makes the design of the transmission link robust to channel-related parameters, as the magnetic permeability of skin and muscle is close to that of air. Thus, changes in tissue moisture content and thickness does not impact the design, which is a persistent problem in other approaches for implant communications like RF, ultrasound and galvanic coupling (GC). The paper makes three main contributions: It develops the theory leading to the design of the information relaying coils in MAGIC. It proposes a systems-level design of a communication link that extends up to 50cm with a low expected BER of 10&lt;sup&gt;−4&lt;/sup&gt;. Finally, the paper includes an experimental setup demonstrating how MAGIC operates in air and muscle tissue, as well as a comparison with alternative implant communication technologies, such as classical radio frequency and GC. Results reveal that MAGIC offers instantaneous alerts with up to 5 times lower power consumption compared to other forms of communication.","IEEE Press","1549–1558","IEEE INFOCOM 2020 - IEEE Conference on Computer Communications","Toronto, ON, Canada","","","","","","MAGIC: Magnetic Resonant Coupling for Intra-body Communication","10.1109/INFOCOM41043.2020.9155421"
"","https://doi.org/10.1109/ASAP.2011.6043260","2011","USA","","Gilani, S. Z.; Nam Sung Kim; Schulte, M.","","","8","","ASAP '11","inproceedings","10.1109/ASAP.2011.6043260","The lack of hardware support for floating-point arithmetic in low-power software-defined radio architectures can significantly increase their software design time due to a time-consuming process of converting floating-point code to fixed-point code. Moreover, emerging wireless communication protocols involve several matrix based algorithms that are extremely sensitive to round-off errors in computations. Using fixed-point arithmetic for these algorithms can significantly impact the accuracy of algorithm results and may incur additional energy overhead due to the extra instructions required for fixed-point arithmetic. In this paper, we demonstrate that supporting floating-point arithmetic in hardware can deliver nearly 30% higher performance and energy efficiency than supporting only fixed-point arithmetic for key kernels of modern wireless communication protocols. The improvements can be further enhanced by our proposed high-throughput floating-point fused-multiply-add unit. Applying our proposed fused-multiply-add unit to key kernels improves performance of the baseline floating-point unit by as much as 60%, while reducing energy consumption by 30% and area by 33%. Although our approach may cause execution stalls depending on data, we show the performance impact of these stalls is negligible. We also employ dynamic range-based dynamic voltage and frequency scaling to further reduce the energy consumption of the processor by 25% for the same worst-case performance as the baseline floating-point implementation.","IEEE Computer Society","122–129","Proceedings of the ASAP 2011 - 22nd IEEE International Conference on Application-Specific Systems, Architectures and Processors","","dynamic range-based dynamic voltage, energy consumption, energy overhead, energy-efficient floating-point arithmetic, fixed-point arithmetic, fixed-point code, floating-point code, floating-point fused-multiply-add unit, frequency scaling, low-power software-defined radio architecture, processor, round-off error, software design, wireless communication protocol","","","9781457712913","","Energy-efficient floating-point arithmetic for software-defined radio architectures","10.1109/ASAP.2011.6043260"
"","https://doi.org/10.1109/PDP.2015.116","2015","USA","","Danelutto, Marco; Torquati, Massimo; Kilpatrick, Peter","","","8","","PDP '15","inproceedings","10.1109/PDP.2015.116","Structured parallel programming, and in particular programming models using the algorithmic skeleton or parallel design pattern concepts, are increasingly considered to be the only viable means of supporting effective development of scalable and efficient parallel programs. Structured parallel programming models have been assessed in a number of works in the context of performance. In this paper we consider how the use of structured parallel programming models allows knowledge of the parallel patterns present to be harnessed to address both performance and energy consumption. We consider different features of structured parallel programming that may be leveraged to impact the performance/energy trade-off and we discuss a preliminary set of experiments validating our claims.","IEEE Computer Society","430–437","Proceedings of the 2015 23rd Euromicro International Conference on Parallel, Distributed, and Network-Based Processing","","DVFS, algorithmic skeletons, energy efficiency, parallel design patterns, power management","","","9781479984916","","A Green Perspective on Structured Parallel Programming","10.1109/PDP.2015.116"
"","https://doi.org/10.1109/ISCA52012.2021.00086","2021","","","Xiao, Qingcheng; Zheng, Size; Wu, Bingzhe; Xu, Pengcheng; Qian, Xuehai; Liang, Yun","","","14","","ISCA '21","inproceedings","10.1109/ISCA52012.2021.00086","Tensor computations overwhelm traditional general-purpose computing devices due to the large amounts of data and operations of the computations. They call for a holistic solution composed of both hardware acceleration and software mapping. Hardware/software (HW/SW) co-design optimizes the hardware and software in concert and produces high-quality solutions. There are two main challenges in the co-design flow. First, multiple methods exist to partition tensor computation and have different impacts on performance and energy efficiency. Besides, the hardware part must be implemented by the intrinsic functions of spatial accelerators. It is hard for programmers to identify and analyze the partitioning methods manually. Second, the overall design space composed of HW/SW partitioning, hardware optimization, and software optimization is huge. The design space needs to be efficiently explored.To this end, we propose an agile co-design approach HASCO that provides an efficient HW/SW solution to dense tensor computation. We use tensor syntax trees as the unified IR, based on which we develop a two-step approach to identify partitioning methods. For each method, HASCO explores the hardware and software design spaces. We propose different algorithms for the explorations, as they have distinct objectives and evaluation costs. Concretely, we develop a multi-objective Bayesian optimization algorithm to explore hardware optimization. For software optimization, we use heuristic and Q-learning algorithms. Experiments demonstrate that HASCO achieves a 1.25X to 1.44X latency reduction through HW/SW co-design compared with developing the hardware and software separately.","IEEE Press","1055–1068","Proceedings of the 48th Annual International Symposium on Computer Architecture","Virtual Event, Spain","","","","9781450390866","","HASCO: towards agile &lt;u&gt;ha&lt;/u&gt;rdware and &lt;u&gt;s&lt;/u&gt;oftware &lt;u&gt;co&lt;/u&gt;-design for tensor computation","10.1109/ISCA52012.2021.00086"
"","https://doi.org/10.1145/3328833.3328834","2019","New York, NY, USA","","El-Dahshan, Kamal A.; Elsayed, Eman K.; Ghannam, Naglaa E.","","","8","","ICSIE '19","inproceedings","10.1145/3328833.3328834","Software design has a main impact in the quality of the software systems. Anti-patterns are shortcomings exist in the software designs and impact negatively software quality. Mobile applications (apps) with anti-patterns have bad quality and short lifetime. Many empirical studies have assessed that the anti-patterns have a negative impact on change-proneness, fault-proneness, memory consumption and energy efficiency. In addition to that, many studies showed that there was an improvement in the user interface and memory performance of mobile apps when correcting Android anti-patterns. The aim of our research is choosing the suitable UML modeling environment to detect Mobile applications' anti-patterns via reverse engineering. So, in this research, first we present a comparative study between nine UML tools for determining the tools that have the functionality for (reverse, forward) engineering and have the ability for validating the model against the anti-patterns. Second, we apply our proposed method to generate the class diagram model of the apps through decoding the Java source code and detects the design anti-patterns in the model. For validating the proposed method, we applied it in twenty-nine Mobile apps which were downloaded from APKmirror. The proposed method detects and treats ten anti-patterns which have appeared 749 times in the twenty-nine apps.","Association for Computing Machinery","1–8","Proceedings of the 8th International Conference on Software and Information Engineering","Cairo, Egypt","Anti-patterns, Mobile Applications, Modelio, Reverse Engineering, UML","","","9781450361057","","Comparative Study for Detecting Mobile Application's Anti-Patterns","10.1145/3328833.3328834"
"","","2015","San Francisco, CA, USA","","Dastbaz, Mohammad; Pattinson, Colin; Akhgar, Babak","","","","","","book","","We are living in the era of ""Big Data"" and the computing power required to deal with ""Big Data"" both in terms of its energy consumption and technical complexity is one of the key areas of research and development. The U.S. Environmental Protection Agency estimates that centralized computing infrastructures (data centres) currently use 7 giga watts of electricity during peak loads. This translates into about 61 billion kilowatt hours of electricity used. By the EPAs estimates, power-hungry data centres consume the annual output of 15 average-sized power plants. One of the top constraints to increasing computing power, besides the ability to cool, is simply delivering enough power to a given physical space. Green Information Technology: A Sustainable Approach offers in a single volume a broad collection of practical techniques and methodologies for designing, building and implementing a green technology strategy in any large enterprise environment, which up until now has been scattered in difficult-to-find scholarly resources. Included here is the latest information on emerging technologies and their environmental impact, how to effectively measure sustainability, discussions on sustainable hardware and software design, as well as how to use big data and cloud computing to drive efficiencies and establish a framework for sustainability in the information technology infrastructure. Written by recognized experts in both academia and industry, Green Information Technology: A Sustainable Approach is a must-have guide for researchers, computer architects, computer engineers and IT professionals with an interest in greater efficiency with less environmental impact. Introduces the concept of using green procurement and supply chain programs in the IT infrastructure.Discusses how to use big data to drive efficiencies and establish a framework for sustainability in the information technology infrastructure.Explains how cloud computing can be used to consolidate corporate IT environments using large-scale shared infrastructure reducing the overall environmental impact and unlocking new efficiencies.Provides specific use cases for Green IT such as data center energy efficiency and cloud computing sustainability and risk.","Morgan Kaufmann Publishers Inc.","","","","","","","0128013796","","Green Information Technology: A Sustainable Approach","10.5555/2809231"
"Software Quality Journal","https://doi.org/10.1023/A:1022142105380","2002","USA","0963-9314","Chatzigeorgiou, Alexander; Stephanides, George","4","10","17","December 2002","","article","10.1023/A:1022142105380","Acknowledging the intense requirement for low power operation in most portable computing systems, this paper introduces the notion of energy efficient software design and proposes metrics, for evaluating software systems in terms of their energy consumption. Considering the sources of power consumption in every digital circuit, and the fact that power is primarily dependent on the executing software, appropriate energy measures are derived, which can be extracted from the flowgraph of a program. The proposed measures are computed by applying rules common to the existing hierarchical measures of other internal software attributes, and form the basis for the definition of a software energy metric. This metric can be used in order to determine the level of energy consumption of any software system more efficiently than existing assembly-parsing techniques, with only a limited penalty in accuracy. Application to different implementations of algorithms, drawn from matrix algebra and multimedia, demonstrates the efficiency of the proposed energy metric for comparison purposes, and as an indicator for quality improvement.","Kluwer Academic Publishers","355–371","","","embedded software, energy consumption, software metrics","December","","","","Energy Metric for Software Systems","10.1023/A:1022142105380"
"Appl. Soft Comput.","https://doi.org/10.1016/j.asoc.2014.11.054","2015","NLD","1568-4946","Masikos, Michail; Demestichas, Konstantinos; Adamopoulou, Evgenia; Theologou, Michael","C","28","11","March 2015","","article","10.1016/j.asoc.2014.11.054","Graphical abstractDisplay Omitted HighlightsIntroduction of a context-aware routing methodology.Ability to sense the environment and to perceive FEV's special characteristics.A rather unbiased (MPE=0.85%) and accurate (MAPE=10.56%) consumption model.Proposed consumption model vs. a reference model: MPE 20x better, MAPE 2x better.Energy efficient vs. fastest routes: save 21% energy, only 10% longer in time. This paper proposes an alternative approach for determining the most energy efficient route towards a destination. An innovative mesoscopic vehicular consumption model that is based on machine learning functionality is introduced and its application in a case study involving Fully Electric Vehicles (FEVs) is examined. The integration of this model in a routing engine especially designed for FEVs is also analyzed and a software architecture for implementing the proposed routing methodology is defined. In order to verify the robustness and the energy efficiency of this methodology, a system prototype has been developed and a series of field tests have been performed. The results of these tests are reported and significant conclusions are derived regarding the generated energy efficient routes.","Elsevier Science Publishers B. V.","114–124","","","Consumption factor analysis, Context-aware routing, Energy-efficient routing, FEV, Mesoscopic learning model","March","","","","Energy-efficient routing based on vehicular consumption predictions of a mesoscopic learning model","10.1016/j.asoc.2014.11.054"
"Environ. Model. Softw.","","2014","NLD","1364-8152","Liang, Qiao-Mei; Yao, Yun-Fei; Zhao, Lu-Tao; Wang, Ce; Yang, Rui-Guang; Wei, Yi-Ming","C","51","12","January 2014","","article","","This paper introduces the China Energy &amp; Environmental Policy Analysis (CEEPA) system. The core of CEEPA is a recursive dynamic computable general equilibrium model, in which the interactions among different agents in the macroeconomic system of China are described. The specific characteristics of Chinese labor market and energy market are also taken into account. The corresponding software system is also developed. CEEPA and its related software was designed for providing decision makers a uniform platform to simulate, analyze and compare different energy and environmental policies conveniently, flexibly and immediately. The application of CEEPA is illustrated in a case study which compares the energy, environmental and socio-economic impacts of energy tax and carbon tax. Results show that given the same extent of direct disturbance, carbon tax is able to restrict energy consumption and CO2 emissions to a greater extent, but the general socio-economic cost caused by energy tax is lower. A uniform platform was developed for China's Energy &amp; Environmental Policy Analysis.This CGE-based platform can assess the economy-wide impacts of different disturbances.Scenario-oriented design pattern is one important characteristics of this platform.Application was illustrated by comparing impacts of energy tax and carbon tax policy.","Elsevier Science Publishers B. V.","195–206","","","Computable general equilibrium, Decision support system, Energy and environmental policy","January","","","","Platform for China Energy &amp; Environmental Policy Analysis","10.5555/2772083.2772301"
"","https://doi.org/10.1145/3021460.3021464","2017","New York, NY, USA","","Marimuthu, C.; Chandrasekaran, K.","","","11","","ISEC '17","inproceedings","10.1145/3021460.3021464","Green and sustainable software engineering is an emerging research field which aims at creating, using, and disposing the energy-efficient software in an environment friendly manner with less negative impacts. The research community strongly believes that the energy efficiency and sustainability of the software can be improved by modifying the existing software engineering methods. This systematic mapping study identifies and map such methods for green and sustainable software development. Especially, this study identifies the research types, research goals, software engineering research topics, accepted validation methods and publication fora that are used in the field of green and sustainable software engineering. This study was conducted with 7 research questions and analyzed 82 relevant studies. We have used snowballing reading to find out the relevant studies that were published from 2010 to May, 2016. One of the important finding of this study is, there are less number of contributions on software design and construction. In future, sufficient research works and tools support must be provided to make this research field more matured. The main contribution of this study is to summarize the body of knowledge in the field of green and sustainable software engineering and provides a platform to conduct future research.","Association for Computing Machinery","34–44","Proceedings of the 10th Innovations in Software Engineering Conference","Jaipur, India","green and sustainable software engineering, green software, systematic mapping study","","","9781450348560","","Software Engineering Aspects of Green and Sustainable Software: A Systematic Mapping Study","10.1145/3021460.3021464"
"Procedia Comput. Sci.","https://doi.org/10.1016/j.procs.2015.05.152","2015","NLD","1877-0509","Yi, Zhang; Rong, Zhang; Jikun, Zhou; Ying, Chen","C","52","5","2015","","article","10.1016/j.procs.2015.05.152","","Elsevier Science Publishers B. V.","1166–1170","","","Embedded system, Storage measurement technique, Drop test, Shock signal recorder, System on chip","January","","","","Embedded Transient Shock Signal Storage Test Technique under High Overload","10.1016/j.procs.2015.05.152"
"","","2001","USA","","","","","","","IPDPS '01","inproceedings","","Portability and energy consumption have become increasingly important in mobile computing. Consequently, there is a clear need for energy-aware portable software design. This paper brings these two design considerations together by examining and optimizing the energy consumption of array allocation mechanisms in Java. Specifically, using a set of array-dominated benchmarks and a partitioned memory architecture with multiple low-power operating modes, we study two data optimization techniques: memory layout modification and array-interleaving. Our results show that these optimizations increase the effectiveness of energy savings due to power control of partitioned memory architectures across different memory configurations. It is observed that the memory energy can be significantly reduced using these techniques.","IEEE Computer Society","10003.1","Proceedings of the 15th International Parallel and Distributed Processing Symposium (IPDPS'01) - Volume 1","","","","","0769509908","","Influence of Array Allocation Mechanisms on Memory System Energy","10.5555/846235.849415"
"","","2001","USA","","Sinha, Amit; Chandrakasan, Anantha","","","","","","phdthesis","","Energy efficient system design is becoming increasingly important with the proliferation of portable, battery-operated appliances such as laptops, Personal Digital Assistants (PDAs) and cellular phones. Numerous dedicated hardware approaches for energy minimization have been proposed while software energy efficiency has been relatively unexplored. Since it is the software that drives the hardware, decisions taken during software design can have a significant impact on system energy consumption. This thesis explores avenues for improving system energy efficiency from application level to the operating system level. The embedded operating system can have a significant impact on system energy by performing dynamic power management both in the active and passive states of the device. Software controlled active power management techniques using dynamic voltage and frequency scaling have been explored. Efficient workload prediction strategies have been developed that enable just-in-time computation. An algorithm for efficient real-time operating system task scheduling has also been developed that minimizes energy consumption. Portable systems spend a lot of time in steep mode. Idle power management strategies have been developed that consider the effect of leakage and duty-cycle on system lifetime. A hierarchical shutdown approach for systems characterized multiple sleep states has been proposed. Although the proposed techniques are quite general, their applicability and utility have been demonstrated using the MIT μAMPS wireless sensor node an example system wherever possible. To quantify software energy consumption, an estimation framework has been developed based on experiments on the StrongARM and Hitachi processors. The software energy profiling tool is available on-line. Finally, in energy constrained systems, we would like to have the ability to trade-off quality of service for extended battery life. A scalable approach to application development has been demonstrated that allows energy quality trade-offs. (Copies available exclusively from MIT Libraries, Rm. 14-0551, Cambridge, MA 02139-4307. Ph. 617-253-5668; Fax 617-253-1690.)","Massachusetts Institute of Technology","","","","","","","","AAI0803422","Energy efficient operating systems and software","10.5555/935510"
