"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"","","","18th European Conference on Software Architecture, ECSA 2024","2024","Lecture Notes in Computer Science","14889 LNCS","","","","","592","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203606706&partnerID=40&md5=ef4b21398167c0293a9955f2ae836155","The proceedings contain 42 papers. The special focus in this conference is on Software Architecture. The topics include: Automated Architecture Recovery for Embedded Software Systems: An Industrial Case Study; An Analysis of MLOps Architectures: A Systematic Mapping Study; attention-Based Method for Design Pattern Detection; cause-Effect Chain-Based Diagnosis of Automotive Onboard Energy Systems; architecture-Based Issue Propagation Analysis; MDEPT: Microservices Design Evaluator and Performance Tester; exploring Architectural Evolution in Microservice Systems Using Repository Mining Techniques and Static Code Analysis; temporal Community Detection in Developer Collaboration Networks of Microservice Projects; uncertainty Calculation-as-a-Service: Microservice-Based Metrology Applications; performance Impact of Microservice Granularity Decisions: An Empirical Evaluation Using the Service Weaver Framework; improving Comprehensibility of Event-Driven Microservice Architectures by Graph-Based Visualizations; energy Consumption of IoT Monitoring Software Architectures in the Edge; software Architecture Assessment for Sustainability: A Case Study; modeling and Analyzing Zero Trust Architectures Regarding Performance and Security; towards Secure Management of Edge-Cloud IoT Microservices Using Policy as Code; electric Vehicle Fast-Charging Software: Architectural Considerations Towards Trustworthiness; exploring Architectural Design Decisions in Mailing Lists and Their Traceability to Issue Trackers; Helping Novice Architects to Make Quality Design Decisions Using an LLM-Based Assistant; architecture Decision Records in Practice: An Action Research Study; towards Teamwise Informed Decisions On Microservice Security Smells; automated Quality Concerns Extraction from User Stories and Acceptance Criteria for Early Architectural Decisions; SCATS Framework for Software Integration in Software-Defined Vehicle with Cross-Organizational Agile Teams; the Execution Perspective in Software Architecture Descriptions: A Systematic Mapping; architectural Views: The State of Practice in Open-Source Software Projects. © 2024 Elsevier B.V., All rights reserved.","","","Conference review","Final","","Scopus","2-s2.0-85203606706"
"Ochoa, J.S.; Pérez, J.; García, J.; Guamán, D.; Cañas, N.; Rodriguez-Horcajo, V.","Ochoa, Juan Sebastian (59321818800); Pérez, Jennifer (37043795900); García, J. Espinosa (59438085100); Guamán, Daniel (57188566526); Cañas, Norberto (54948668900); Rodriguez-Horcajo, Vanessa (59321818900)","59321818800; 37043795900; 59438085100; 57188566526; 54948668900; 59321818900","Energy Consumption of IoT Monitoring Software Architectures in the Edge","2024","Lecture Notes in Computer Science","14889 LNCS","","","217","232","0","0","10.1007/978-3-031-70797-1_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203596605&doi=10.1007%2F978-3-031-70797-1_15&partnerID=40&md5=7041cbbcdd75c2ba26f760fe5d6aad81","IoT has led energy consumption to be a critical issue for sustainability due to the huge amount of power connections of IoT devices and the huge amount of generated data that must be transmitted and stored. As a result, the data monitoring process and its processing activities must be performed by the nodes and servers of the Edge in a sustainable way. The IoT monitoring process of data consists of four main activities: listening, filtering, translating and routing. Once the data has been monitored, it can be stored and transmitted to the Edge/Cloud. In order to address sustainable monitoring processes in the Edge, it is necessary to evaluate how the configuration of the components that compose the Edge monitoring architecture may influence its energy consumption. In this paper, we present the experimental results of an exploratory study and its findings, in which the energy consumption of four different software architecture configurations of an indoor environmental monitoring IoT system is measured. From the execution of 24 experiments, the study reveals the importance of balancing the monitoring activities between the Edge nodes and servers, and evidences the energy consumption increment that data storage implies for the Edge. © 2024 Elsevier B.V., All rights reserved.","Data Monitoring; Edge; Energy Consumption; IoT; Software Architecture; Sustainability","Critical issues; Data monitoring; Edge; Edge clouds; Energy-consumption; IoT; Monitoring process; Power connections; Processing activity; Routings; Environmental monitoring","Conference paper","Final","","Scopus","2-s2.0-85203596605"
"Coleman, J.; Meggers, F.","Coleman, James R. (56249176800); Meggers, Forrest M. (36731246700)","56249176800; 36731246700","GESE: Granular Electric Sub-Metering Economics in the Context of Automated Demand Response","2024","","","","","45","50","0","0","10.1109/MetroLivEnv60384.2024.10615632","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201200310&doi=10.1109%2FMetroLivEnv60384.2024.10615632&partnerID=40&md5=96342d0bbcf7b5e93961670ce44fbcfd","Granular electric sub-metering is a key component of progressive building operations. It enables use cases including: electricity and carbon accounting, tenant or departmental billing, measurement and verification for energy conservation measures, and fault detection and diagnostics. It also enables emerging practices like predictive maintenance, occupancy detection, and Automated Demand Response (ADR). This paper compares 3 design patterns that elevate a sub-metering system to an ADR capable system to determine if networked smart plugs and breakers facilitate ADR at a lower cost than traditional building automation system (BAS) equipment. We consider the requirements of our ADR systems to be: knowing real-time energy consumption and being able to programmatically switch loads or branch circuits. We also experimentally validate the accuracy of lower-cost metering solutions. We find that smart plugs are not meaningfully less accurate than traditional power meters. We find that while smart breakers are less accurate than smart plugs, they are accurate enough to be used for informational purposes. We find that the infrastructure required to deploy an ADR solution on top of either a smart breaker or smart plug based metering system has fewer components is likely less expensive than an ADR system based on a BAS architecture. In conclusion, we find that IoT-style smart plugs and breakers offer a viable and relatively low cost alternative to traditional BASs for the purpose of ADR. However, because of the limitations of switching loads entirely off, the useful application of this approach may be limited to residential settings. © 2024 Elsevier B.V., All rights reserved.","branch circuit monitoring; Building Automation System (BAS); Internet of Things (IoT); power meters; sub-metering","Automation; Costs; Electric loads; Fault detection; Intelligent buildings; Internet of things; Real time systems; Timing circuits; Branch circuit monitoring; Branch circuits; Building automation system; Building automation systems; Demand response; Internet of thing; Low-costs; Powermeter; Smart plugs; Sub-metering; Energy utilization","Conference paper","Final","","Scopus","2-s2.0-85201200310"
"Alreshidi, A.","Alreshidi, Abdulrahman (55815931100)","55815931100","Blockchain-based Decentralised Management of Digital Passports of Health (DPoH) for Vaccination Records","2024","International Journal of Advanced Computer Science and Applications","15","6","","1440","1448","0","3","10.14569/IJACSA.2024.01506144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199693356&doi=10.14569%2FIJACSA.2024.01506144&partnerID=40&md5=9f7c0b7ca3e9bf8fa7ecbac8c71dfa64","With the recent impact of viral infections and pandemics – akin to a recent global healthcare emergency due to COVID-19 - there is an urgent need for mass-scale testing and vaccination initiatives for tackling the health and economic crises. However, the centralized storage of patient information has given rise to significant concerns regarding privacy, transparency, and efficient transmission of vaccination records. This paper exploits a blockchain-based solution that presents a novel approach by seamlessly integrating identity verification, encryption protocols, and decentralized storage via IPFS (InterPlanetary File System) which gives rise to the concept of Digital Passport of Health (DPoH). The proposed solution in this paper introduces the concept of DPoH, specifically designed for test certification, and leverages the power of smart contracts on Ethereum-based blockchain technology for securely creating, managing and transmitting data in the form of DPoH. The proposed solution is being evaluated in three dimensions including (i) gas cost (i.e. energy efficiency), (ii) data storage (i.e. storage efficiency), and (iii) data access (i.e. response time) for creation and transmission of DHoPs. The developed solution and its criteria-based validation are complemented with algorithmic implementations that can progress existing research and development on blockchain-based management of health-critical systems. © 2024 Elsevier B.V., All rights reserved.","blockchain; digital passport of health; Smart healthcare; software architecture; software engineering","Cryptography; Digital storage; Energy efficiency; Health care; Software engineering; Vaccines; Block-chain; Centralised; Decentralized management; Digital passport of health; Digital passports; Economic crisis; Health crisis; Mass scale; Smart healthcare; Viral infections; Blockchain","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85199693356"
"Zhang, W.","Zhang, Wenhan (59222298600)","59222298600","Design and Implementation of Household Carbon Emission Estimation Program Based on Financial Consumption","2024","Environmental Science and Engineering","","","","441","452","0","0","10.1007/978-3-031-42563-9_43","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198725666&doi=10.1007%2F978-3-031-42563-9_43&partnerID=40&md5=12e7df238d8797adf515420d24369626","In order to raise the public's concern about carbon emissions and let more residents know about the carbon emissions and their impacts, a household carbon emission estimation method based on financial consumption was proposed, and the practical application of the algorithm was realized through software development. Household carbon emissions can be divided into direct carbon emissions and indirect carbon emissions. Based on the typical correspondence between energy consumption and consumption, an estimation model of individual carbon emissions is proposed. Based on this estimation model, the software program of household carbon emission estimator is designed, and the mini program “My carbon emission” is developed by using WeChat mini program platform. In addition to providing carbon estimation services, the “My carbon emission” mini program also provides extended services such as ranking carbon emissions, suggesting carbon reduction measures, and sharing knowledge about carbon emissions on an irregular basis. A statistical analysis of 112 trial participants’ actual application data shows that electricity consumption and fuel consumption are the main sources of household carbon emissions. Further investigation found that more than 80% of the trial users said that the function of the system helps them understand carbon emissions, and they are willing to participate in the extended services such as carbon ranking and carbon trading. © 2024 Elsevier B.V., All rights reserved.","Carbon emissions; Estimation model; Financial consumption; System design","Application programs; Carbon; Emission control; Finance; Software design; Carbon emissions; Design and implementations; Direct carbons; Emissions estimation; Estimation methods; Estimation models; Estimation program; Financial consumption; Mini projects; Public concern; Energy utilization","Conference paper","Final","","Scopus","2-s2.0-85198725666"
"Youssef, Y.; Tóth, M.; Bozó, I.","Youssef, Gharbi (59470422800); Tóth, Melinda (26422511300); Bozó, István (36661795000)","59470422800; 26422511300; 36661795000","Measuring and Analysing Erlang's Energy Usage","2024","","","","","1993","1998","0","2","10.1109/MIPRO60963.2024.10569977","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198227473&doi=10.1109%2FMIPRO60963.2024.10569977&partnerID=40&md5=9fec9dcd30f8c46c82d6393d20fcc37e","Energy efficiency in software development has become an increasingly important research area in recent years. Previous studies investigated the impact of programming language and coding practices on energy consumption. The studies show that the Erlang programming language consumes more energy compared to other languages. In this paper, we would like to demonstrate that Erlang's energy behaviour is significantly better than the previous thought when a problem close to Erlang's design is measured. Therefore, when we are creating green software, we need to consider not only the programming language but also the problem domain. © 2024 Elsevier B.V., All rights reserved.","energy consumption; Erlang; green coding; measurements and analysis; programming language comparisons","Ada (programming language); Energy efficiency; Software design; Energy; Energy behaviours; Energy usage; Energy-consumption; Erlang programming language; Erlangs; Green coding; Measurement and analysis; Programming language comparison; Research areas; Energy utilization","Conference paper","Final","","Scopus","2-s2.0-85198227473"
"Butt, S.A.; Naz, S.; Piñeres-Espitia, P.-E.; Patriciac, P.A.-C.; Piñeres-Melo, M.A.","Butt, Shariq Aziz (57210375561); Naz, Sumera (57193484990); Piñeres-Espitia, Gabriel (57192398626); Patriciac, Paola Ariza Colpas (59163440000); Piñeres-Melo, Marlon Alberto (57197792575)","57210375561; 57193484990; 57192398626; 59163440000; 57197792575","The Importance of Robust Communication in Large-Scale Agile Development","2024","Procedia Computer Science","236","","","224","232","0","3","10.1016/j.procs.2024.05.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195374246&doi=10.1016%2Fj.procs.2024.05.025&partnerID=40&md5=e9e9cd7a97edef96474d8640f5d7cb98","The agile methodology stands out as a prevalent model for efficient software development, particularly favored for its adaptability and suitability in small-scale projects across various software industries. Nevertheless, its widespread adoption has brought to light certain communication challenges, particularly when applied to large-scale distributed teams. Agile, it appears, may not be the optimal choice for extensive teams engaged in global software development efforts. This study delves into the intricacies of issues faced by teams employing agile in the context of large-scale distributed development, particularly focusing on communication-related challenges and their repercussions. Our approach involved in-depth interviews with diverse developers and teams hailing from various sectors within the software industry. Moreover, we conducted an extensive quantitative analysis, surveying 50 developers representing different distributed teams. The outcomes of our investigation unearthed several communication-related deficiencies that significantly impact the development process. To arrive at these insights, we employed two robust statistical analysis methods: descriptive analysis and regression analysis. The implications of our findings have led us to propose innovative software solutions, bearing distinctive features engineered to mitigate the communication issues often encountered in large-scale software development. These solutions have the potential to enhance the efficiency and effectiveness of agile practices when applied in extensive and globally dispersed development endeavors. © 2024 Elsevier B.V., All rights reserved.","Agile development; communication challenges; green software; large-scale distributed development","Regression analysis; Agile development; Agile Methodologies; Communication challenge; Distributed development; Distributed teams; Green software; Large-scale distributed development; Large-scales; Robust communication; Software industry; Software design","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85195374246"
"Semerikov, S.O.; Striuk, A.M.","Semerikov, Serhiy O. (56375008500); Striuk, Andrii M. (57194524952)","56375008500; 57194524952","Embracing Emerging Technologies: Insights from the 6th Workshop for Young Scientists in Computer Science & Software Engineering","2024","CEUR Workshop Proceedings","3662","","","1","36","0","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191438776&partnerID=40&md5=8b4bf42150ad996c6b6c0d51f06b54b0","The 6th Workshop for Young Scientists in Computer Science & Software Engineering showcases cutting-edge research from emerging talents. This volume comprises diverse papers illuminating emerging technologies' profound impact across various domains. Several contributions underscore the pivotal role of telemetry, graph theory, and machine learning in optimising distributed systems, detecting anomalies, and streamlining processes. Others delve into acoustic surveillance techniques for UAV detection, genetic algorithms for university scheduling, and neural network-driven optimisation of chemical synthesis. The proceedings also highlight novel approaches to assessing software architecture reliability, implementing ERP systems, and designing information systems for viral infection data analysis. Thermal resistance calculation software, multimodal distribution data processing methods, and high-performance computing energy consumption modelling are also explored. Moreover, the importance of user experience research in cross-platform application development is emphasised, alongside the design of virtual physics laboratories and Python learning game applications. Notably, predatory conferences are addressed, proposing robust conference management platforms to uphold research integrity. Collectively, these papers exemplify young scientists' innovative spirit and determination to tackle real-world challenges and push the boundaries of their disciplines. © 2024 Elsevier B.V., All rights reserved.","acoustic surveillance; emerging technologies; enterprise resource planning; genetic algorithms; graph theory; machine learning; neural networks; predatory conferences; Python learning games; software reliability; telemetry; user experience; virtual laboratories","Computer software selection and evaluation; Cost engineering; Data handling; E-learning; Energy utilization; Genetic algorithms; Graph theory; Learning systems; Machine learning; Reliability analysis; Research laboratories; Scheduling algorithms; Acoustic surveillance; Emerging technologies; Enterprise resources planning; Learning game; Machine-learning; Neural-networks; Predatory conference; Python learning game; Software-Reliability; Users' experiences; Virtual laboratories; Software reliability","Conference paper","Final","","Scopus","2-s2.0-85191438776"
"Claßen, H.; Thierfeldt, J.; Tochman-Szewc, J.; Wiesner, P.; Kao, O.","Claßen, Henrik (58678910800); Thierfeldt, Jonas (58678858500); Tochman-Szewc, Julian (58678831700); Wiesner, Philipp (57208013140); Kao, Odej (7004362997)","58678910800; 58678858500; 58678831700; 57208013140; 7004362997","Carbon-Awareness in CI/CD","2024","Lecture Notes in Computer Science","14518 LNCS","","","213","224","0","2","10.1007/978-981-97-0989-2_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189751475&doi=10.1007%2F978-981-97-0989-2_17&partnerID=40&md5=9b3c9d816c84e4ec050c3dad17d6fd5c","While the environmental impact of cloud computing is increasingly evident, the climate crisis has become a major issue for society. For instance, data centers alone account for 2.7% of Europe’s energy consumption today. A considerable part of this load is accounted for by cloud-based services for automated software development, such as continuous integration and delivery (CI/CD) workflows. In this paper, we discuss opportunities and challenges for greening CI/CD services by better aligning their execution with the availability of low-carbon energy. We propose a system architecture for carbon-aware CI/CD services, which uses historical runtime information and, optionally, user-provided information. Our evaluation examines the potential effectiveness of different scheduling strategies using real carbon intensity data and 7,392 workflow executions of Github Actions, a popular CI/CD service. Results show, that user-provided information on workflow deadlines can effectively improve carbon-aware scheduling. © 2024 Elsevier B.V., All rights reserved.","carbon intensity; carbon-aware scheduling; continuous integration; sustainability","Carbon; Energy utilization; Environmental impact; Green computing; Software design; Carbon intensity; Carbon-aware scheduling; Cloud-based; Cloud-computing; Continuous integrations; Datacenter; Energy-consumption; Low carbon energies; Systems architecture; Work-flows; Sustainable development","Conference paper","Final","","Scopus","2-s2.0-85189751475"
"Kalsum, T.; Ramzan, H.A.; Ramzan, S.; Abdullah, F.; Musa, S.M.A.; Rauf, M.","Kalsum, Tehmina (57202136078); Ramzan, Hafiz Arslan (58979125500); Ramzan, Sadia (57226442526); Abdullah, Fatima (60093007200); Musa, Syed Muhammad Ali (60093241100); Rauf, Minahil (60022211400)","57202136078; 58979125500; 57226442526; 60093007200; 60093241100; 60022211400","Towards Sustainable Software Engineering: A Green Computing Approach","2024","","","","","","","0","0","10.1109/ICIC63915.2024.11116549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015620554&doi=10.1109%2FICIC63915.2024.11116549&partnerID=40&md5=6c4af176d6f58d305779e5377e90aed8","The field of software engineering is evolving toward sustainability in an era where the effects of technology on the environment are becoming more and more apparent. To investigate methods for reducing the environmental impact of software systems, this article explores the relationship between software engineering and green computing. To promote a more sustainable digital environment, we establish best practices and methodology for implementing green computing principles into the software engineering process through empirical analysis and case studies. The study emphasizes how important it is to achieve sustainable software engineering using resource optimization, green deployment strategies, energy-efficient design, and constant monitoring. This work highlights the significance of multidisciplinary innovation and collaboration in driving the transition to sustainable software development by showcasing real-world applications and their obvious advantages. © 2025 Elsevier B.V., All rights reserved.","carbon emission; energy consumption; green computing; Sustainable software engineering","Application programs; Energy efficiency; Environmental impact; Green computing; Software design; Sustainable development; Best practices; Carbon emissions; Case-studies; Digital environment; Empirical analysis; Energy-consumption; Resources optimization; Software engineering process; Software-systems; Sustainable softwares; Energy utilization","Conference paper","Final","","Scopus","2-s2.0-105015620554"
"Connolly Bree, D.; O Cinneide, M.","Connolly Bree, Deaglan (57222310006); O Cinneide, Mel (57256662700)","57222310006; 57256662700","Energy efficiency of the Visitor Pattern: contrasting Java and C++ implementations","2023","Empirical Software Engineering","28","6","145","","","0","4","10.1007/s10664-023-10387-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175175697&doi=10.1007%2Fs10664-023-10387-8&partnerID=40&md5=041514f945dbae79544fd0e364697fbe","Design patterns are applied frequently during software evolution in order to make the software more flexible and amenable to extension. One little-studied aspect of design patterns is their propensity to increase run-time energy consumption due to the indirection and additional structure they introduce. In this paper we study the impact of the Visitor pattern on energy efficiency. The Visitor pattern separates an algorithm from the objects it acts upon and improves maintainability by placing each algorithm within a single visitor class. This is at the cost of increased indirection due to the double dispatch required when the algorithm is invoked. We experimentally investigate the energy impact of varying the implementation of this pattern, and of removing the pattern entirely from software written in Java and C++. In our results we observe energy consumption reductions greater than 7% in a Java-based textbook example when the pattern is implemented using reflective dispatch, and reductions of over 10% when experimenting with an open source Java project, JavaParser. The complete removal of the pattern yields more complex results, with little impact in the textbook example but reductions of over 7% in the JavaParser study. To explore the generalisability of our findings, we subsequently apply the same transformations to the C++ based CppParser. Total pattern removal here sees energy consumption reductions of over 66% while the reflective dispatch approach increases energy consumption by up to 2012%. Our results highlight the energy savings that can be achieved when the Visitor pattern is removed both in Java and C++ implementations, and also show that some language specific features can allow for further energy savings when the implementation of the pattern is varied. © 2023 Elsevier B.V., All rights reserved.","Design patterns; Empirical; Energy efficiency; Green technology; Object-Oriented programming; Refactoring; Software design; Software transformation; Visitor pattern","C++ (programming language); Energy utilization; Java programming language; Object oriented programming; Open source software; Software design; % reductions; Consumption reductions; Design Patterns; Empirical; Energy-consumption; Green technology; Objectoriented programming (OOP); Refactorings; Software transformation; Visitor patterns; Energy efficiency","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85175175697"
"Ali, Z.H.; Zaki, J.F.; El-Rashidy, N.","Ali, Zainab Hassan (57194720250); Zaki, John F.W. (57202044574); El-Rashidy, Nora Mahmud (57211502814)","57194720250; 57202044574; 57211502814","Dynamic urban evaluation routing protocol for enhanced vehicle ad hoc networks","2023","Journal of Supercomputing","79","6","","6017","6039","0","3","10.1007/s11227-022-04877-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140964832&doi=10.1007%2Fs11227-022-04877-7&partnerID=40&md5=6b6f2e2626a45f818070ca93b0d5c767","Recently, a crucial need has grown for improving data communication for the application of roads and ad hoc networks. That is, to provide reliable and operational efficiency in data delivery and throughput. Due to the fast fragmentation and dynamic network behavior, there is an increasing demand to reach reliability in data transmission. Furthermore, the various features and the manifold of dynamic topologies in the vehicular ad hoc network raise the need to redesign the routing strategy. Thus, ensuring efficient and reliable data delivery. This paper aims to introduce a Software architecture for Road Network. The architecture is based on fog computing and aims to improve the overall performance in vehicular networks. The proposed architecture is a new routing design for the urban system to accomplish low energy consumption and operational efficiency in data delivery. The integration between the software-defined networks and fog computing platform in the proposed architecture aids to address the high rate of data transmission. Historically, this high rate negatively affected network capacity and power consumption. To prove the effectiveness of the proposed architecture, it is compared with five state-of-art algorithms published in high impact journals. The proposed architecture performance is tested based on four metrics namely packet delivery ratio, network throughput, power consumption, and routing overhead. The experimental results indicate that a 50–60% improvement in both power consumption and packet delivery ratio, while a 60–65% enhancement in network throughput and routing overhead, respectively. © 2023 Elsevier B.V., All rights reserved.","Fog computing platform; Geographic routing protocol; Intelligent transportation systems; Internet of things; Software-defined-network; Vehicular ad hoc network","Data transfer; Electric power utilization; Fog; Fog computing; Intelligent systems; Internet of things; Internet protocols; Memory architecture; Network architecture; Power management (telecommunication); Routing protocols; Software defined networking; Traffic control; Computing platform; Data delivery; Data-transmission; Fog computing platform; Geographic routing protocols; Intelligent transportation systems; Operational efficiencies; Proposed architectures; Software-defined networks; Vehicular Adhoc Networks (VANETs); Vehicular ad hoc networks","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85140964832"
"Cárdenas-Ramírez, J.P.; Romero Quidel, G.","Cárdenas-Ramírez, Juan Pablo (58299843000); Romero Quidel, Guisel (58300129800)","58299843000; 58300129800","Building a Net Zero Energy Home: A Case Study with Wikihouse Prototype in Chile","2023","ZEMCH International Conference","","","","218","225","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194060873&partnerID=40&md5=b2164ddf6e883a5f17c9049321b9c68c","Human activity, mainly in the construction sector, is the main cause of the increase in greenhouse gas concentration in the atmosphere, which accelerates climate change. The construction sector uses about 40% of the world's energy and generates one third of global greenhouse gas emissions. In Chile, 66.2% of households have energy efficiency problems, mainly due to the fact that 66% of these houses were built before the implementation of thermal regulations in 2000, and multidimensional poverty that prevents energy efficiency actions. WikiHouse is an open-source system aimed at designing and constructing houses with optimized material usage and reduced assembly time, as well as offering affordable and creative housing designs. Its digital platform includes a library of house blocks, allowing users to cut the pieces through subtractive manufacturing and assemble them quickly and easily. In this context, the question posed in this work was: ""How does this solution enable the achievement of high energy efficiency standards and address current housing problems while also meeting Chile's international commitments to achieve net zero energy by 2030 and carbon neutrality by 2050?""In this work, a Wikihouse prototype was developed using the first version of the skylark 250 system in Temuco, Chile, which is located in a Mediterranean climate with mild summers, corresponding to a Csb climate based on the Köppen climate classification. The prototype was designed and built by a workflow using AutoCad, Fusion360 and a generic router CNC. It was evaluated using the software design builder, aiming to achieve high energy efficiency standards, net zero energy, and carbon neutrality using low-impact environmental materials. The main results show the feasibility of building under a design for manufacturing and assembly approach using more readily available technology while achieving useful energy consumption to implement the concept of net zero energy on a large scale. © 2024 Elsevier B.V., All rights reserved.","DFMA; Net Zero; WikiHouse","","Conference paper","Final","","Scopus","2-s2.0-85194060873"
"Zhuo, H.; Jiang, S.; Li, T.; Luo, S.; Wang, F.","Zhuo, Haoze (57813150100); Jiang, Shengchao (58310351000); Li, Tailin (58309777600); Luo, Sulin (59125803900); Wang, Feifeng (55932249700)","57813150100; 58310351000; 58309777600; 59125803900; 55932249700","Optimal Design of Transformer Winding Thermostat Verification Device Based on Simulated Annealing Algorithm","2023","","","","","607","611","0","0","10.1109/ICIRDC62824.2023.00116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192988534&doi=10.1109%2FICIRDC62824.2023.00116&partnerID=40&md5=d8237eb07b253887ac58504bb7cb0e1a","The verification device of winding temperature controller is a key component to ensure the normal operation of transformer, so its design and control are very important. In this paper, the temperature control strategy of transformer winding based on simulated annealing algorithm (SAA) is proposed. In the PID control based on SAA, the performance index or energy function needs to be determined first to evaluate the performance of each parameter combination. Then, SAA searches in the parameter space and gradually converges to the best parameter combination. Subsequently, the software of transformer winding temperature controller verification device is designed. This software design will integrate SAA to realize temperature control, and optimize the temperature of transformer winding according to the objective function to ensure that it remains in the required range. Through numerical simulation and experimental verification, we find that the conventional PID controller is weak in adjusting disturbance, so the control quality of the system is poor under disturbance, while the PID controller based on SAA has strong adaptive ability, good control quality and strong robustness. The optimized device not only shows better performance in temperature control, but also makes significant improvements in energy efficiency and reliability. This helps to reduce energy consumption and operating costs and improve the sustainability of transformers. © 2024 Elsevier B.V., All rights reserved.","Simulated annealing algorithm; transformer; winding thermostat","Controllers; Energy efficiency; Operating costs; Proportional control systems; Quality control; Simulated annealing; Software design; Temperature control; Three term control systems; Transformer windings; Verification; Winding; Annealing algorithm; Control quality; Parameter combination; Performance; PID controllers; Simulated annealing algorithm; Temperature controllers; Transformer; Transformers winding; Winding thermostat; Energy utilization","Conference paper","Final","","Scopus","2-s2.0-85192988534"
"Xu, C.; Sun, J.; Zheng, S.; Li, F.","Xu, Chao (56718844100); Sun, Junwei (57203370082); Zheng, Shanqi (58886659700); Li, Feng (58904482100)","56718844100; 57203370082; 58886659700; 58904482100","Research on Collaborative Networking Method of 5G Slicing and WiFi6 in Substation Scenarios","2023","","","","","198","203","0","0","10.1109/ICEMCE60359.2023.10490809","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191433481&doi=10.1109%2FICEMCE60359.2023.10490809&partnerID=40&md5=76cd5005c74b45a0fe7641ba6496b3e4","This paper presents a collaborative networking approach for 5G slicing and WiFi6 in the context of substations. Based on a new switching algorithm of fuzzy logic, it first proposes a speed-adaptive network discovery method, which can automatically adjust the update frequency of the candidate network according to different speeds of mobile terminals, then proposes a pre-judgment mechanism for fast filtering out the candidate network; then describes the switching decision based on fuzzy logic to determine the optimal network and whether to switch. Finally, it describes the switching execution process in the heterogeneous environment of LET network and WIFI network. The method introduces a software architecture for key network elements and mechanisms for network enhancement, optimizing the energy efficiency of both the information and communication systems within the power grid. This optimization leads to an improved service quality in substations. By integrating WiFi terminal access into the 5G private network, the proposed approach achieves unified authentication, management, and rapid service provisioning for wireless local area network (WLAN) users without native 5G capabilities. This integration enhances mobility support for substations. Simultaneously, the method significantly enhances the uplink bandwidth while reducing network deployment and terminal retrofitting costs within substations. This approach facilitates high-speed and stable network connectivity for substations, supporting various applications such as realtime monitoring, data transmission, remote maintenance, and intelligent device management. Consequently, this advancement is anticipated to enhance the efficiency, reliability, and security of substations. © 2024 Elsevier B.V., All rights reserved.","5G; Collaborative Networking; Substation; WiFi6","5G mobile communication systems; Computer circuits; Energy efficiency; Information management; Quality of service; Wi-Fi; Wireless local area networks (WLAN); 5g; Adaptive networks; Algorithm of fuzzy; Candidate network; Collaborative networking; Fuzzy-Logic; Speed adaptive; Substation; Switching algorithms; Wifi6; Fuzzy logic","Conference paper","Final","","Scopus","2-s2.0-85191433481"
