,index,Title,DOI,Source,Year,Source title,Cited by,Document Type,Abstract,Author full names,Index Keywords,Author Keywords,Volume,Language of Original Document,Publisher,Conference name,Conference code,ISBN,ieee_file,acm_file,Abstract_clean,BERTopic_Topic,BERTopic_Topic_Label,BERTopic_Probability,BERTopic_Count,BERTopic_Name,BERTopic_Representation,BERTopic_main,BERTopic_openai,BERTopic_aspect1,BERTopic_aspect2,BERTopic_Representative_Docs
0,3,"2012 1st International Workshop on Green and Sustainable Software, GREENS 2012 - Proceedings",,Scopus,2012,,0.0,Conference review,The proceedings contain 12 papers. The topics discussed include: energy management in embedded systems: towards a taxonomy; how to measure energy-efficiency of software: metrics and measurement results; energy-efficient synchronization through program patterns; EoD designer: a computation tool for energy optimization of data centers; an energy consumption model and analysis tool for cloud computing environments; a preliminary study of the impact of software engineering on GreenIT; estimating android applications' CPU energy usage via bytecode profiling; architecting ultra-large-scale green information systems; initial explorations on design pattern energy usage; aligning economic impact with environmental benefits: a green strategy model; approximating quality contracts for energy auto-tuning software; and GMoCA: GreenMobile cloud applications. ,,,,,,,,,,,,The proceedings contain 12 papers The topics discussed include energy management in embedded systems towards a taxonomy; how to measure energy-efficiency of software metrics and measurement results; energy-efficient synchronization through program patterns; EoD designer a computation tool for energy optimization of data centers; an energy consumption model and analysis tool for cloud computing environments; a preliminary study of the impact of software engineering on GreenIT; estimating android applications CPU energy usage via bytecode profiling; architecting ultra-large-scale green information systems; initial explorations on design pattern energy usage; aligning economic impact with environmental benefits a green strategy model; approximating quality contracts for energy auto-tuning software; and GMoCA GreenMobile cloud applications ,1,energy_software_energy consumption,0.3421597700838819,26,1_energy_software_energy consumption_consumption,"['energy', 'software', 'energy consumption', 'consumption', 'efficiency', 'energy efficiency', 'applications', 'results', 'application', 'development']","['software energy', 'energy consumption', 'energy efficiency', 'energy efficient', 'energy saving', 'efficiency software', 'energy', 'efficiency', 'workload', 'performance']",Energy Efficiency in Software Development,"['energy', 'software', 'consumption', 'efficiency', 'applications', 'results', 'application', 'development', 'impact', 'architecture']","['software energy', 'energy efficiency', 'efficiency software', 'workload', 'sustainability', 'development environments', 'cloud', 'microservices architecture', 'monolithic architecture', 'metrics']","['Background Energy efficiency is an increasingly important property of software A large number of empirical studies have been conducted on the topic However, current state-of-the-Art does not provide empirically-validated guidelines for developing energy-efficient software Aim This study aims at assessing the impact, in terms of energy savings, of best practices for achieving software energy efficiency, elicited from previous work By doing so, it identifies which resources are affected by the practices and the possible trade-offs with energy consumption Method We performed an empirical experiment in a controlled environment, where we applied two different Green Software practices to two software applications, namely query optimization in MySQL Server and usage of ""sleep"" instruction in the Apache web server We then performed a comparison of the energy consumption at system-level and at resource-level, before and after applying the practice Results Our results show that both practices are effective in improving software energy efficiency, reducing consumption up to 25% We observe that after applying the practices, resource usage is more energy-proportional ie, increasing CPU usage increases energy consumption in an almost linear way We also provide our reflections on empirical experimentation in software energy efficiency Conclusions Our contribution shows that significant improvements in software energy efficiency can be gained by applying best practices during design and development Future work will be devoted to further validate best practices, and to improve their reusability ', 'Context The energy efficiency of IT systems, also referred to as Green IT, is attracting more and more attention While several researchers have focused on the energy efficiency of hardware and embedded systems, the role of application software in IT energy consumption still needs investigation Objective This paper aims to define a methodology for measuring software energy efficiency and to understand the consequences of abstraction layers and application development environments for the energy efficiency of software applications Method We first develop a measure of energy efficiency that is appropriate for software applications We then examine how the use of application development environments relates to this measure of energy efficiency for a sample of 63 open source software applications Results Our findings indicate that a greater use of application development environments - specifically, frameworks and external libraries - is more detrimental in terms of energy efficiency for larger applications than for smaller applications We also find that different functional application types have distinctly different levels of energy efficiency, with text and image editing and gaming applications being the most energy inefficient due to their intense use of the processor Conclusion We conclude that different designs can have a significant impact on the energy efficiency of software applications We have related the use of software application development environments to software energy efficiency suggesting that there may be a trade-off between development efficiency and energy efficiency We propose new research to further investigate this topic © 2011 Elsevier BV All rights reserved ', 'Recent studies show that software systems account for approximately 6% of global energy consumption Coupled with new regulations urging French organizations to adopt energy-efficient practices, this has increased the need for energy-conscious development methods However, a key challenge remains the lack of detailed data on the impact of design solutions on software energy consumption, complicating efforts for software architects who must balance performance and energy efficiency Without clear data on how design decisions - such as architectural styles, frameworks, and serialization methods - affect energy use, optimizing both performance and sustainability is difficult Most existing studies on software energy consumption focus on small-scale projects and technologies irrelevant to Berger-Levraults environment, where this study was conducted To address this, we propose a methodology to evaluate the energy consumption of alternative design solutions using the Dynatrace Carbon Impact module, chosen for its compatibility with virtualized and cloud-based environments, and NeoLoad performance testing, selected for its compatibility with Berger-Levraults specific technologies Using this approach, we compared two versions of the same application a legacy version built with Citrix, Java Swing, and RPC, and a modern version using Angular, Spring Boot, and REST We also evaluated Protobuf versus JSON serialization Our findings show that adopting Angular for the frontend and Spring Boot for the backend reduces overall energy consumption by approximately 70% The Angular frontend uses 30 times less energy than Java Swing Furthermore, Protobuf serialization reduces energy usage by 33% compared to JSON, due to its faster processing and lower memory requirements These results highlight the energy-saving potential of modern web technologies and optimized data formats for sustainable software development ']"
1,7,A Comparative Analysis of Monolith vs Microservices Energy Consumption,10.1007/978-3-032-02138-0_17,ACM Digital Library,2026,"Software Architecture: 19th European Conference, ECSA 2025, Limassol, Cyprus, September 15–19, 2025, Proceedings",0.0,Conference paper,"As energy demands rise and sustainability becomes critical, Information and Communication Technology’s energy footprint is increasingly monitored. In this context, software architecture may play a significant role in determining a system’s energy consumption. This study aims to evaluate and compare the energy consumption of monolithic and microservice-based software to understand their implications for sustainable software design. We applied a cohort study approach in a controlled experimental environment using two open-source Java applications—PetClinic and TicketMonster—each implemented in both monolithic and microservice versions. Three use cases, representing different workloads, were defined and executed 30 times each per version, resulting in 360 total runs. Server energy use was measured with Powerstat and analyzed using Welch’s t-test. Our findings show that microservices may consume less energy than their monolithic counterparts under medium and heavy loads. Specifically, PetClinic and TicketMonster showed energy reductions of 4.99% and 5.05%, respectively. Across all use cases and applications, microservices demonstrated an average energy saving of 5.02% compared to monoliths. These results suggest that microservice architectures may offer improved energy efficiency in high-demand scenarios due to better resource utilization and modular execution. While the study is limited to controlled conditions and two case studies, it provides a foundation for further research on architectural decisions and sustainable software engineering practices. ","Capuano, Roberta;  Muccini, Henry;  O’Dea, Eoan","['', 'Energy utilization; Engineering research; Open source software; Software architecture; Software design; Sustainable development; Cohort studies; Comparative analyzes; Critical technologies; Energy; Energy demands; Energy-consumption; Experimental environment; Information and Communication Technologies; Monolithics; Sustainable softwares; Energy efficiency']","['energy efficiency; software architecture; sustainable software', 'software architecture, energy efficiency, sustainable software']",15929 LNCS,English,,"Software Architecture: 19th European Conference, ECSA 2025, Limassol, Cyprus, September 15–19, 2025, Proceedings",,978-3-032-02137-3,,https://dl.acm.org/doi/pdf/10.1007/978-3-032-02138-0_17,"As energy demands rise and sustainability becomes critical, Information and Communication Technology’s energy footprint is increasingly monitored In this context, software architecture may play a significant role in determining a system’s energy consumption This study aims to evaluate and compare the energy consumption of monolithic and microservice-based software to understand their implications for sustainable software design We applied a cohort study approach in a controlled experimental environment using two open-source Java applications—PetClinic and TicketMonster—each implemented in both monolithic and microservice versions Three use cases, representing different workloads, were defined and executed 30 times each per version, resulting in 360 total runs Server energy use was measured with Powerstat and analyzed using Welch’s t-test Our findings show that microservices may consume less energy than their monolithic counterparts under medium and heavy loads Specifically, PetClinic and TicketMonster showed energy reductions of 499% and 505%, respectively Across all use cases and applications, microservices demonstrated an average energy saving of 502% compared to monoliths These results suggest that microservice architectures may offer improved energy efficiency in high-demand scenarios due to better resource utilization and modular execution While the study is limited to controlled conditions and two case studies, it provides a foundation for further research on architectural decisions and sustainable software engineering practices ",1,energy_software_energy consumption,0.3039541153254013,26,1_energy_software_energy consumption_consumption,"['energy', 'software', 'energy consumption', 'consumption', 'efficiency', 'energy efficiency', 'applications', 'results', 'application', 'development']","['software energy', 'energy consumption', 'energy efficiency', 'energy efficient', 'energy saving', 'efficiency software', 'energy', 'efficiency', 'workload', 'performance']",Energy Efficiency in Software Development,"['energy', 'software', 'consumption', 'efficiency', 'applications', 'results', 'application', 'development', 'impact', 'architecture']","['software energy', 'energy efficiency', 'efficiency software', 'workload', 'sustainability', 'development environments', 'cloud', 'microservices architecture', 'monolithic architecture', 'metrics']","['Background Energy efficiency is an increasingly important property of software A large number of empirical studies have been conducted on the topic However, current state-of-the-Art does not provide empirically-validated guidelines for developing energy-efficient software Aim This study aims at assessing the impact, in terms of energy savings, of best practices for achieving software energy efficiency, elicited from previous work By doing so, it identifies which resources are affected by the practices and the possible trade-offs with energy consumption Method We performed an empirical experiment in a controlled environment, where we applied two different Green Software practices to two software applications, namely query optimization in MySQL Server and usage of ""sleep"" instruction in the Apache web server We then performed a comparison of the energy consumption at system-level and at resource-level, before and after applying the practice Results Our results show that both practices are effective in improving software energy efficiency, reducing consumption up to 25% We observe that after applying the practices, resource usage is more energy-proportional ie, increasing CPU usage increases energy consumption in an almost linear way We also provide our reflections on empirical experimentation in software energy efficiency Conclusions Our contribution shows that significant improvements in software energy efficiency can be gained by applying best practices during design and development Future work will be devoted to further validate best practices, and to improve their reusability ', 'Context The energy efficiency of IT systems, also referred to as Green IT, is attracting more and more attention While several researchers have focused on the energy efficiency of hardware and embedded systems, the role of application software in IT energy consumption still needs investigation Objective This paper aims to define a methodology for measuring software energy efficiency and to understand the consequences of abstraction layers and application development environments for the energy efficiency of software applications Method We first develop a measure of energy efficiency that is appropriate for software applications We then examine how the use of application development environments relates to this measure of energy efficiency for a sample of 63 open source software applications Results Our findings indicate that a greater use of application development environments - specifically, frameworks and external libraries - is more detrimental in terms of energy efficiency for larger applications than for smaller applications We also find that different functional application types have distinctly different levels of energy efficiency, with text and image editing and gaming applications being the most energy inefficient due to their intense use of the processor Conclusion We conclude that different designs can have a significant impact on the energy efficiency of software applications We have related the use of software application development environments to software energy efficiency suggesting that there may be a trade-off between development efficiency and energy efficiency We propose new research to further investigate this topic © 2011 Elsevier BV All rights reserved ', 'Recent studies show that software systems account for approximately 6% of global energy consumption Coupled with new regulations urging French organizations to adopt energy-efficient practices, this has increased the need for energy-conscious development methods However, a key challenge remains the lack of detailed data on the impact of design solutions on software energy consumption, complicating efforts for software architects who must balance performance and energy efficiency Without clear data on how design decisions - such as architectural styles, frameworks, and serialization methods - affect energy use, optimizing both performance and sustainability is difficult Most existing studies on software energy consumption focus on small-scale projects and technologies irrelevant to Berger-Levraults environment, where this study was conducted To address this, we propose a methodology to evaluate the energy consumption of alternative design solutions using the Dynatrace Carbon Impact module, chosen for its compatibility with virtualized and cloud-based environments, and NeoLoad performance testing, selected for its compatibility with Berger-Levraults specific technologies Using this approach, we compared two versions of the same application a legacy version built with Citrix, Java Swing, and RPC, and a modern version using Angular, Spring Boot, and REST We also evaluated Protobuf versus JSON serialization Our findings show that adopting Angular for the frontend and Spring Boot for the backend reduces overall energy consumption by approximately 70% The Angular frontend uses 30 times less energy than Java Swing Furthermore, Protobuf serialization reduces energy usage by 33% compared to JSON, due to its faster processing and lower memory requirements These results highlight the energy-saving potential of modern web technologies and optimized data formats for sustainable software development ']"
2,9,A Comparative Study of Software Architectures in Constrained-Device IoT Deployments,,ACM Digital Library,2021,,,mastersthesis,"Since its inception in 2009, the Internet of Things (IoT) has grown dramatically in both size and complexity. One of the areas that has seen significant developments is that of resource-constrained devices. Such devices clearly require careful engineering in order to manage resources such as energy and memory, whilst still ensuring acceptable performance. A number of aspects play a critical role in the engineering of such systems. One such aspect is the choice of software architecture. The microservices architecture appears to be a promising approach for IoT, as suggested by a number of researchers. However, limited research has been done on the implementation of microservices in IoT and resource-constrained devices, and even less research has been done to compare the microservices architecture to the monolithic architecture in such deployments.The aim of this research thesis was to compare these two architectures in the context of IoT and constrained devices. The two architectures were compared by: energy consumption, runtime performance and memory consumption. To ensure that the results are not specific to a single programming language, each architecture was developed in three different languages: Go, Python and C++. Following a review of different asynchronous messaging protocols, Message Queuing Telemetry Transport was selected. The experiments were conducted on a Raspberry Pi 4, and a number of other hardware devices were used, including sensors, an actuator and a type C USB Tester. Two metrics were used to measure power consumption: maximum instantaneous power consumption and total power consumption. Whilst three metrics were used to measure memory consumption: maximum Resident Set Size (RSS), total RSS and central processing unit (CPU) resource usage. Each experiment was carried out 10 times in order to ensure data validity.The power consumption results showed that the microservices architecture had, on average, 14,9% higher maximum instantaneous power consumption, whilst the total power consumption of the microservices architecture was only 3,0% greater than that of the monolithic architecture. The runtime results indicated that the microservices architecture had a longer runtime than the monolithic architecture for Go and C++, whilst the inverse was true for Python. When considering memory consumption, it was found that the maximum RSS was 37,1% greater for the microservices architecture. The total RSS results for both architectures were very similar for Go and C++, whilst microservices performed much better for Python. Lastly, the results for CPU usage showed that the monolithic architecture had, on average, 14,9% greater CPU usage than the microservices architecture. It was concluded that, for small-scale applications, the monolithic architecture had better performance across most metrics and languages. It was, however,recommended that additional research be conducted on larger scale applications to determine the applicability of these results beyond the scope of small-scale applications. In general, there is still much room for research in this area.","du Plessis, Shani",,,,English,,,,9798819341537,,https://dl.acm.org/doi/pdf/10.5555/AAI29096435,"Since its inception in 2009, the Internet of Things  resource usage Each experiment was carried out 10 times in order to ensure data validityThe power consumption results showed that the microservices architecture had, on average, 14,9% higher maximum instantaneous power consumption, whilst the total power consumption of the microservices architecture was only 3,0% greater than that of the monolithic architecture The runtime results indicated that the microservices architecture had a longer runtime than the monolithic architecture for Go and C++, whilst the inverse was true for Python When considering memory consumption, it was found that the maximum RSS was 37,1% greater for the microservices architecture The total RSS results for both architectures were very similar for Go and C++, whilst microservices performed much better for Python Lastly, the results for CPU usage showed that the monolithic architecture had, on average, 14,9% greater CPU usage than the microservices architecture It was concluded that, for small-scale applications, the monolithic architecture had better performance across most metrics and languages It was, however,recommended that additional research be conducted on larger scale applications to determine the applicability of these results beyond the scope of small-scale applications In general, there is still much room for research in this area",1,energy_software_energy consumption,0.2815676677234892,26,1_energy_software_energy consumption_consumption,"['energy', 'software', 'energy consumption', 'consumption', 'efficiency', 'energy efficiency', 'applications', 'results', 'application', 'development']","['software energy', 'energy consumption', 'energy efficiency', 'energy efficient', 'energy saving', 'efficiency software', 'energy', 'efficiency', 'workload', 'performance']",Energy Efficiency in Software Development,"['energy', 'software', 'consumption', 'efficiency', 'applications', 'results', 'application', 'development', 'impact', 'architecture']","['software energy', 'energy efficiency', 'efficiency software', 'workload', 'sustainability', 'development environments', 'cloud', 'microservices architecture', 'monolithic architecture', 'metrics']","['Background Energy efficiency is an increasingly important property of software A large number of empirical studies have been conducted on the topic However, current state-of-the-Art does not provide empirically-validated guidelines for developing energy-efficient software Aim This study aims at assessing the impact, in terms of energy savings, of best practices for achieving software energy efficiency, elicited from previous work By doing so, it identifies which resources are affected by the practices and the possible trade-offs with energy consumption Method We performed an empirical experiment in a controlled environment, where we applied two different Green Software practices to two software applications, namely query optimization in MySQL Server and usage of ""sleep"" instruction in the Apache web server We then performed a comparison of the energy consumption at system-level and at resource-level, before and after applying the practice Results Our results show that both practices are effective in improving software energy efficiency, reducing consumption up to 25% We observe that after applying the practices, resource usage is more energy-proportional ie, increasing CPU usage increases energy consumption in an almost linear way We also provide our reflections on empirical experimentation in software energy efficiency Conclusions Our contribution shows that significant improvements in software energy efficiency can be gained by applying best practices during design and development Future work will be devoted to further validate best practices, and to improve their reusability ', 'Context The energy efficiency of IT systems, also referred to as Green IT, is attracting more and more attention While several researchers have focused on the energy efficiency of hardware and embedded systems, the role of application software in IT energy consumption still needs investigation Objective This paper aims to define a methodology for measuring software energy efficiency and to understand the consequences of abstraction layers and application development environments for the energy efficiency of software applications Method We first develop a measure of energy efficiency that is appropriate for software applications We then examine how the use of application development environments relates to this measure of energy efficiency for a sample of 63 open source software applications Results Our findings indicate that a greater use of application development environments - specifically, frameworks and external libraries - is more detrimental in terms of energy efficiency for larger applications than for smaller applications We also find that different functional application types have distinctly different levels of energy efficiency, with text and image editing and gaming applications being the most energy inefficient due to their intense use of the processor Conclusion We conclude that different designs can have a significant impact on the energy efficiency of software applications We have related the use of software application development environments to software energy efficiency suggesting that there may be a trade-off between development efficiency and energy efficiency We propose new research to further investigate this topic © 2011 Elsevier BV All rights reserved ', 'Recent studies show that software systems account for approximately 6% of global energy consumption Coupled with new regulations urging French organizations to adopt energy-efficient practices, this has increased the need for energy-conscious development methods However, a key challenge remains the lack of detailed data on the impact of design solutions on software energy consumption, complicating efforts for software architects who must balance performance and energy efficiency Without clear data on how design decisions - such as architectural styles, frameworks, and serialization methods - affect energy use, optimizing both performance and sustainability is difficult Most existing studies on software energy consumption focus on small-scale projects and technologies irrelevant to Berger-Levraults environment, where this study was conducted To address this, we propose a methodology to evaluate the energy consumption of alternative design solutions using the Dynatrace Carbon Impact module, chosen for its compatibility with virtualized and cloud-based environments, and NeoLoad performance testing, selected for its compatibility with Berger-Levraults specific technologies Using this approach, we compared two versions of the same application a legacy version built with Citrix, Java Swing, and RPC, and a modern version using Angular, Spring Boot, and REST We also evaluated Protobuf versus JSON serialization Our findings show that adopting Angular for the frontend and Spring Boot for the backend reduces overall energy consumption by approximately 70% The Angular frontend uses 30 times less energy than Java Swing Furthermore, Protobuf serialization reduces energy usage by 33% compared to JSON, due to its faster processing and lower memory requirements These results highlight the energy-saving potential of modern web technologies and optimized data formats for sustainable software development ']"
3,12,A Framework for Estimating the Impact of a Distributed Software System's Architectural Style on its Energy Consumption,10.1109/WICSA.2008.28,ACM Digital Library,2008,Proceedings of the Seventh Working IEEE/IFIP Conference on Software Architecture (WICSA 2008),36.0,IEEE Conferences,"The selection of an architectural style for a given software system is an important factor in satisfying its quality requirements. In battery-powered environments, such as mobile and pervasive systems, efficiency with respect to energy consumption has increasingly been recognized as an important quality attribute. In this paper, we present a framework that (1) facilitates early estimation of the energy consumption induced by an architectural style in a distributed software system, and (2) consequently enables an engineer to use energy consumption estimates along with other quality attributes in determining the most appropriate style for a given distributed application. We have applied the framework on five distributed systems styles to date, and have evaluated it for precision and accuracy using a particular middleware platform that supports the implementation of those styles. In a large number of application scenarios, our framework exhibited excellent precision, in that it was consistently able to correctly rank the five styles and estimate the relative differences in their energy consumptions. Moreover, the framework has also proven to be accurate: its estimates were within 7% of the different style implementations' actually measured energy consumptions. © 2008 IEEE. ","C. Seo;  N. Medvidovic;  Malek, Sam;  Edwards, George; Seo, Chiyoung;  Edwards, George T.;  G. Edwards;  Medvidovic, Nenad;  S. Malek;  Medvidovic̈, Nenad","['', 'Software systems;Energy consumption;Middleware;Software architecture;Application software;Connectors;Power engineering and energy;Energy measurement;Publish-subscribe;Peer to peer computing', 'Computer software; Computer software selection and evaluation; Energy efficiency; Energy policy; Energy utilization; Estimation; Middleware; Ubiquitous computing; Application scenarios; Architectural styles; Distributed applications; Distributed software; Distributed systems; Energy consumption; Middleware platforms; Pervasive systems; Quality attributes; Quality requirements; Software systems; Software architecture']","['Architectural styles, component-based distributed systems, energy estimation', 'Architectural styles;energy estimation;component-based distributed systems']",,English,"['', 'IEEE']","['', 'Proceedings of the Seventh Working IEEE/IFIP Conference on Software Architecture (WICSA 2008)']",,"['978-0-7695-3092-5', '9780769530925']",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4459169,https://dl.acm.org/doi/pdf/10.1109/WICSA.2008.28,"The selection of an architectural style for a given software system is an important factor in satisfying its quality requirements In battery-powered environments, such as mobile and pervasive systems, efficiency with respect to energy consumption has increasingly been recognized as an important quality attribute In this paper, we present a framework that  consequently enables an engineer to use energy consumption estimates along with other quality attributes in determining the most appropriate style for a given distributed application We have applied the framework on five distributed systems styles to date, and have evaluated it for precision and accuracy using a particular middleware platform that supports the implementation of those styles In a large number of application scenarios, our framework exhibited excellent precision, in that it was consistently able to correctly rank the five styles and estimate the relative differences in their energy consumptions Moreover, the framework has also proven to be accurate its estimates were within 7% of the different style implementations actually measured energy consumptions © 2008 IEEE ",3,energy_consumption_energy consumption,1.0,10,3_energy_consumption_energy consumption_power,"['energy', 'consumption', 'energy consumption', 'power', 'distributed', 'design', 'time', 'framework', 'systems', 'software']","['power consumption', 'energy consumption', 'energy efficiency', 'energy efficient', 'power models', 'consumption estimates', 'consumption time', 'energy driven', 'use energy', 'energy']",Energy-Efficient Software Design Frameworks for Distributed Systems,"['energy', 'consumption', 'power', 'design', 'time', 'framework', 'systems', 'software', 'style', 'approach']","['power consumption', 'energy efficient', 'power models', 'energy driven', 'runtime', 'distributed programming', 'design decisions', 'battery', 'embedded', 'estimates']","['The selection of an architectural style for a given software system is an important factor in satisfying its quality requirements In battery-powered environments, such as mobile and pervasive systems, efficiency with respect to energy consumption has increasingly been recognized as an important quality attribute In this paper, we present a framework that  consequently enables an engineer to use energy consumption estimates along with other quality attributes in determining the most appropriate style for a given distributed application We have applied the framework on five distributed systems styles to date, and have evaluated it for precision and accuracy using a particular middleware platform that supports the implementation of those styles In a large number of application scenarios, our framework exhibited excellent precision, in that it was consistently able to correctly rank the five styles and estimate the relative differences in their energy consumptions Moreover, the framework has also proven to be accurate its estimates were within 7% of the different style implementations actually measured energy consumptions © 2008 IEEE ', 'The architectural style used in a software system is an important factor in satisfying its quality requirements In battery-powered environments, such as mobile and pervasive systems, efficiency with respect to energy consumption is often an important quality requirement In this paper, we present a framework that facilitates early estimation of the energy consumption induced by an architectural style in a distributed system, and enables an engineer to use energy consumption estimates along with other quality attributes in determining the most appropriate style for a given distributed application We apply the framework to three architectural styles, and evaluate it for precision and accuracy using a middleware platform that supports the implementation of those styles In a large number of application scenarios, our framework exhibited excellent precision, in that it was consistently able to correctly rank the styles and estimate the relative differences in their energy costs Moreover, the framework has also proven to be accurate its estimates were within 7% of each style implementations actual energy cost © 2009 ACM ', 'Component-based distributed systems are increasingly deployed onto heterogeneous embedded platforms with limited battery resources In this domain, it is crucial to provide an effective approach that enables an engineer to build energy-efficient component-based distributed systems throughout the entire development cycle spanning system design-time, construction-time, and runtime To address this problem, this dissertation first presents a framework that  consequently enables an engineer to use energy consumption estimates along with other quality attributes in determining the most appropriate style for a given distributed system during design-time As the second part of the solution, this dissertation provides a framework that allows the system engineer to estimate the energy consumption of a component-based distributed system implemented in Java at the level of its components, both during system construction-time and during runtime We also present several practical applications of the framework, which can be effected either at system construction-time or at runtime for reducing the distributed system’s energy consumption and consequently increasing the lifetime of the systems key servicesOur overall approach, composed of the above two estimation frameworks, has been evaluated empirically on a large number of distributed application scenarios, and xii produced very accurate energy consumption estimates The dissertation concludes with several open research questions that will frame our future work']"
4,13,A Green Perspective on Structured Parallel Programming,10.1109/PDP.2015.116,ACM Digital Library,2015,"Proceedings of the 2015 23rd Euromicro International Conference on Parallel, Distributed, and Network-Based Processing",4.0,IEEE Conferences,"Structured parallel programming, and in particular programming models using the algorithmic skeleton or parallel design pattern concepts, are increasingly considered to be the only viable means of supporting effective development of scalable and efficient parallel programs. Structured parallel programming models have been assessed in a number of works in the context of performance. In this paper we consider how the use of structured parallel programming models allows knowledge of the parallel patterns present to be harnessed to address both performance and energy consumption. We consider different features of structured parallel programming that may be leveraged to impact the performance/energy trade-off and we discuss a preliminary set of experiments validating our claims. "," Kilpatrick, Peter; Danelutto, Marco; M. Danelutto;  M. Torquati;  P. Kilpatrick;  Torquati, Massimo","['', 'Skeleton;Parallel programming;Parallel processing;Multicore processing;Business', 'Economic and social effects; Energy efficiency; Energy utilization; Musculoskeletal system; Parallel programming; Power management; Algorithmic skeleton; DVFS; Parallel design patterns; Parallel patterns; Parallel program; Parallel programming model; Programming models; Trade off; Structured programming']","['DVFS, algorithmic skeletons, energy efficiency, parallel design patterns, power management', 'Algorithmic skeletons; DVFS; Energy efficiency; Parallel design patterns; Power management', 'parallel design patterns;energy efficiency;DVFS;power management;algorithmic skeletons']",,English,"['', 'IEEE']","['', 'Proceedings of the 2015 23rd Euromicro International Conference on Parallel, Distributed, and Network-Based Processing']",,"['978-1-4799-8491-6', '9781479984916']",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7092757,https://dl.acm.org/doi/pdf/10.1109/PDP.2015.116,"Structured parallel programming, and in particular programming models using the algorithmic skeleton or parallel design pattern concepts, are increasingly considered to be the only viable means of supporting effective development of scalable and efficient parallel programs Structured parallel programming models have been assessed in a number of works in the context of performance In this paper we consider how the use of structured parallel programming models allows knowledge of the parallel patterns present to be harnessed to address both performance and energy consumption We consider different features of structured parallel programming that may be leveraged to impact the performance/energy trade-off and we discuss a preliminary set of experiments validating our claims ",2,energy_patterns_design,0.6777845695754094,20,2_energy_patterns_design_design patterns,"['energy', 'patterns', 'design', 'design patterns', 'pattern', 'software', 'impact', 'energy consumption', 'consumption', 'code']","['software energy', 'energy consumption', 'performance energy', 'energy efficiency', 'design patterns', 'energy savings', 'reduce energy', 'refactoring techniques', 'software design', 'refactoring']",Energy Efficiency in Software Design Patterns and Refactoring Techniques,"['energy', 'patterns', 'design', 'pattern', 'software', 'impact', 'consumption', 'code', 'smells', 'removal']","['software energy', 'energy savings', 'refactoring techniques', 'software design', 'architectural transformations', 'compiler', 'patterns code', 'performance', 'javaparser', 'parallel programming']","['Design patterns are applied frequently during software evolution in order to make the software more flexible and amenable to extension One little-studied aspect of design patterns is their propensity to increase run time energy consumption due to the indirection and additional structure they introduce In this paper we study the impact of the Visitor pattern on energy efficiency The Visitor pattern separates an algorithm from the objects it acts upon and improves maintainability by placing each algorithm within a single visitor class, at the cost of increased indirection due to the double dispatch required when the algorithm is invoked We experimentally investigate the energy impact of varying the implementation of this pattern, and of removing the pattern entirely from the software In our results we observe energy consumption reductions of greater than 7% in the textbook example when the pattern is implemented using reflective casting, and reductions of over 10% when experimenting with an open source project, JavaParser The complete removal of the pattern yields more complex results, with little impact in the textbook example but reductions of over 7% in the JavaParser study Our results highlight the energy savings that may be achieved when the Visitor pattern is removed, and show that energy savings may also be achieved by varying the implementation of the pattern ', 'Design patterns are applied frequently during software evolution in order to make the software more flexible and amenable to extension One little-studied aspect of design patterns is their propensity to increase run-time energy consumption due to the indirection and additional structure they introduce In this paper we study the impact of the Visitor pattern on energy efficiency The Visitor pattern separates an algorithm from the objects it acts upon and improves maintainability by placing each algorithm within a single visitor class This is at the cost of increased indirection due to the double dispatch required when the algorithm is invoked We experimentally investigate the energy impact of varying the implementation of this pattern, and of removing the pattern entirely from software written in Java and C++ In our results we observe energy consumption reductions greater than 7% in a Java-based textbook example when the pattern is implemented using reflective dispatch, and reductions of over 10% when experimenting with an open source Java project, JavaParser The complete removal of the pattern yields more complex results, with little impact in the textbook example but reductions of over 7% in the JavaParser study To explore the generalisability of our findings, we subsequently apply the same transformations to the C++ based CppParser Total pattern removal here sees energy consumption reductions of over 66% while the reflective dispatch approach increases energy consumption by up to 2012% Our results highlight the energy savings that can be achieved when the Visitor pattern is removed both in Java and C++ implementations, and also show that some language specific features can allow for further energy savings when the implementation of the pattern is varied ', 'With growing concerns regarding climate change and rising energy costs, there is an increased focus on improving the energy efficiency of software One relevant avenue of research is the transformation of software designs in order to increase efficiency and reduce energy consumption Design Patterns are of interest here as the indirection they introduce is likely to have a detrimental effect on energy consumption In this paper we report on our investigations into the impact on energy consumption of the Decorator pattern, which is a structural design pattern used to enable additional behaviour to be attached to an individual component dynamically Application of this pattern improves the maintainability of software at the cost of increased indirection and redundancy, which may reduce energy efficiency In this paper we explore features of the Decorator pattern that impact on its systematic removal, with a future goal of removing this pattern using automated refactoring We subsequently examine experimentally the Decorator patterns impact on energy consumption in Java and find its implementation results in an increased number of instantiated objects and method invocations at run-time The removal of the pattern can result in up to a 96% reduction in energy consumption in a best-case scenario with a textbook example, and up to a 5% reduction in energy consumption in an open-source project with a case study examining JUnit, a popular unit testing framework for Java These results demonstrate the energy savings achievable with the removal of Decorator pattern instances and open the way for similar investigations of other design patterns ']"
